DATE,NGDPRSAXDCGBQ
1983-01-01,249032.0
1983-04-01,250761.0
1983-07-01,253655.0
1983-10-01,255533.0
1984-01-01,257683.0
1984-04-01,255100.0
1984-07-01,256975.0
1984-10-01,261627.0
1985-01-01,264127.0
1985-04-01,269787.0
1985-07-01,269737.0
1985-10-01,269896.0
1986-01-01,272720.0
1986-04-01,275136.0
1986-07-01,276863.0
1986-10-01,282193.0
1987-01-01,284172.0
1987-04-01,288385.0
1987-07-01,295493.0
1987-10-01,298855.0
1988-01-01,303698.0
1988-04-01,305281.0
1988-07-01,309097.0
1988-10-01,311574.0
1989-01-01,313083.0
1989-04-01,315039.0
1989-07-01,315554.0
1989-10-01,315515.0
1990-01-01,317117.0
1990-04-01,319239.0
1990-07-01,315744.0
1990-10-01,314148.0
1991-01-01,312596.0
1991-04-01,312235.0
1991-07-01,311624.0
1991-10-01,312006.0
1992-01-01,311904.0
1992-04-01,311418.0
1992-07-01,312896.0
1992-10-01,315307.0
1993-01-01,316882.0
1993-04-01,318302.0
1993-07-01,321218.0
1993-10-01,323400.0
1994-01-01,326585.0
1994-04-01,329584.0
1994-07-01,332911.0
1994-10-01,334363.0
1995-01-01,336090.0
1995-04-01,336789.0
1995-07-01,340542.0
1995-10-01,341602.0
1996-01-01,343859.0
1996-04-01,344979.0
1996-07-01,348214.0
1996-10-01,352958.0
1997-01-01,358611.0
1997-04-01,362573.0
1997-07-01,365942.0
1997-10-01,371341.0
1998-01-01,374037.0
1998-04-01,376421.0
1998-07-01,377650.0
1998-10-01,380155.0
1999-01-01,382789.0
1999-04-01,384605.0
1999-07-01,390758.0
1999-10-01,396357.0
2000-01-01,401242.0
2000-04-01,404196.0
2000-07-01,406795.0
2000-10-01,409411.0
2001-01-01,413054.0
2001-04-01,414878.0
2001-07-01,417085.0
2001-10-01,418445.0
2002-01-01,419534.0
2002-04-01,421587.0
2002-07-01,424425.0
2002-10-01,427725.0
2003-01-01,430832.0
2003-04-01,434837.0
2003-07-01,438710.0
2003-10-01,442172.0
2004-01-01,443853.0
2004-04-01,446443.0
2004-07-01,448171.0
2004-10-01,450464.0
2005-01-01,453784.0
2005-04-01,457557.0
2005-07-01,461135.0
2005-10-01,465451.0
2006-01-01,467840.0
2006-04-01,469655.0
2006-07-01,470918.0
2006-10-01,473372.0
2007-01-01,477823.0
2007-04-01,481314.0
2007-07-01,484544.0
2007-10-01,487413.0
2008-01-01,489783.0
2008-04-01,487386.0
2008-07-01,479872.0
2008-10-01,469694.0
2009-01-01,460105.0
2009-04-01,458599.0
2009-07-01,458875.0
2009-10-01,460238.0
2010-01-01,464543.0
2010-04-01,469606.0
2010-07-01,472199.0
2010-10-01,472612.0
2011-01-01,473819.0
2011-04-01,474365.0
2011-07-01,475813.0
2011-10-01,476479.0
2012-01-01,480632.0
2012-04-01,479979.0
2012-07-01,484579.0
2012-10-01,484039.0
2013-01-01,485409.0
2013-04-01,488930.0
2013-07-01,493002.0
2013-10-01,496466.0
2014-01-01,500552.0
2014-04-01,504939.0
2014-07-01,508741.0
2014-10-01,512334.0
2015-01-01,513850.0
2015-04-01,516876.0
2015-07-01,518915.0
2015-10-01,521920.0
2016-01-01,523813.0
2016-04-01,526750.0
2016-07-01,528712.0
2016-10-01,532082.0
2017-01-01,536566.0
2017-04-01,540020.0
2017-07-01,543452.0
2017-10-01,547377.0
2018-01-01,547688.0
2018-04-01,548600.0
2018-07-01,550425.0
2018-10-01,551128.0
2019-01-01,555141.0
2019-04-01,556932.0
2019-07-01,560987.0
2019-10-01,560861.0
2020-01-01,545597.0
2020-04-01,434718.0
2020-07-01,507643.0
2020-10-01,514531.0
2021-01-01,509261.0
2021-04-01,546579.0
2021-07-01,555956.0
2021-10-01,564407.0
2022-01-01,567396.0
2022-04-01,567889.0
2022-07-01,567445.0
2022-10-01,568034.0
2023-01-01,569472.0
2023-04-01,569687.0
2023-07-01,568953.0
